CTAsPerSM,ThreadsPerBlock,LoadType,LoadBytes,BIFKiB,LatencyNs5090,LatencyNsBlackwell,Ratio5090OverBlackwell,DeltaNs
1,32,float,4,0.125,811.4285714285714,610.6870229007633,1.328714285714286,200.74154852780816
1,32,float2,8,0.25,744.1269841269841,595.9287531806616,1.248684478061079,148.1982309463225
1,32,float4,16,0.5,794.2857142857143,552.1628498727736,1.438499012508229,242.12286441294077
1,64,float,4,0.25,386.3492063492064,597.9643765903307,0.6461073961499495,-211.61517024112436
1,64,float2,8,0.5,775.2380952380953,962.3409669211195,0.8055752814081742,-187.1028716830242
1,64,float4,16,1.0,429.8412698412699,605.5979643765903,0.709779911964786,-175.75669453532043
1,128,float,4,0.5,388.8888888888889,563.8676844783715,0.6896811070998796,-174.97879558948262
1,128,float2,8,1.0,398.41269841269843,583.7150127226463,0.6825466019014407,-185.30231430994786
1,128,float4,16,2.0,865.3968253968254,1049.8727735368957,0.8242873300556287,-184.47594814007027
1,256,float,4,1.0,816.5079365079365,962.3409669211195,0.8484601243987813,-145.833030413183
1,256,float2,8,2.0,469.8412698412699,967.9389312977099,0.4854038355615643,-498.09766145644005
1,256,float4,16,4.0,604.1269841269841,615.267175572519,0.9818937335066368,-11.140191445534924
2,32,float,4,0.25,368.8888888888889,985.2417302798982,0.3744146005509642,-616.3528413910093
2,32,float2,8,0.5,389.5238095238095,541.9847328244275,0.7186988598256203,-152.460923300618
2,32,float4,16,1.0,417.14285714285717,608.6513994910941,0.6853559483994267,-191.50854234823697
2,64,float,4,0.5,386.3492063492064,878.3715012722646,0.4398471555481985,-492.0222949230582
2,64,float2,8,1.0,805.3968253968254,991.8575063613231,0.8120086002589851,-186.46068096449767
2,64,float4,16,2.0,471.42857142857144,604.0712468193384,0.7804188229630522,-132.64267539076695
2,128,float,4,1.0,402.22222222222223,921.6284987277353,0.43642554757960617,-519.406276505513
2,128,float2,8,2.0,660.3174603174604,596.9465648854962,1.106158405391142,63.370895431964186
2,128,float4,16,4.0,933.6507936507937,596.9465648854962,1.5640441683919946,336.70422876529756
2,256,float,4,2.0,537.7777777777778,584.2239185750636,0.9204994192799071,-46.44614079728581
2,256,float2,8,4.0,594.6031746031746,599.4910941475827,0.9918465518635298,-4.887919544408078
2,256,float4,16,8.0,802.5396825396825,625.4452926208651,1.2831492890077105,177.09438991881746
3,32,float,4,0.375,536.1904761904763,589.821882951654,0.9090718599778135,-53.631406761177686
3,32,float2,8,0.75,392.6984126984127,509.4147582697201,0.770881499452928,-116.71634557130739
3,32,float4,16,1.5,627.6190476190476,623.9185750636132,1.005931018410627,3.7004725554344304
3,64,float,4,0.75,752.6984126984128,546.0559796437659,1.3784271956685752,206.64243305464686
3,64,float2,8,1.5,612.3809523809524,575.5725190839695,1.0639509915371985,36.80843329698291
3,64,float4,16,3.0,543.4920634920635,964.3765903307888,0.5635682874733007,-420.88452683872526
3,128,float,4,1.5,866.3492063492064,589.3129770992366,1.4701003371987829,277.0362292499698
3,128,float2,8,3.0,940.3174603174604,996.4376590330788,0.9436791672746729,-56.12019871561847
3,128,float4,16,6.0,991.4285714285714,1046.3104325699744,0.9475472484713732,-54.881861141402965
3,256,float,4,3.0,530.4761904761905,587.2773536895675,0.9032805149789551,-56.80116321337698
3,256,float2,8,6.0,1100.0,605.5979643765903,1.8163865546218487,494.4020356234097
3,256,float4,16,12.0,1433.968253968254,1091.0941475826971,1.3142479566453449,342.87410638555684
4,32,float,4,0.5,387.61904761904765,583.7150127226463,0.6640552995391705,-196.09596510359864
4,32,float2,8,1.0,815.5555555555555,573.5368956743002,1.4219757468204672,242.0186598812553
4,32,float4,16,2.0,481.9047619047619,612.7226463104325,0.7864973896535359,-130.8178844056706
4,64,float,4,1.0,768.5714285714286,590.8396946564885,1.300812107788852,177.73173391494004
4,64,float2,8,2.0,458.09523809523813,585.2417302798982,0.7827453416149069,-127.14649218466008
4,64,float4,16,4.0,598.4126984126984,601.5267175572519,0.9948231407622271,-3.114019144553481
4,128,float,4,2.0,465.3968253968254,580.6615776081425,0.8014940945703436,-115.26475221131705
4,128,float2,8,4.0,599.047619047619,610.178117048346,0.9817586083641129,-11.130498000727016
4,128,float4,16,8.0,836.8253968253969,642.7480916030534,1.3019492515929574,194.0773052223435
4,256,float,4,4.0,930.4761904761905,589.3129770992366,1.5789168517147794,341.1632133769539
4,256,float2,8,8.0,807.6190476190476,625.4452926208651,1.291270487039405,182.17375499818252
4,256,float4,16,16.0,1256.1904761904761,1107.8880407124682,1.1338604895334339,148.30243547800796
